File,Jaccard Index,GT True,GT False,Pred True,Pred False,Accuracy,Precision,Recall,F1 Score
1017_sci-news.com.json,0.7777777777777778,8,2,8,2,0.8,0.875,0.875,0.875
1028_redorbit.com.json,1.0,8,2,8,2,1.0,1.0,1.0,1.0
1034_aol.com.json,1.0,10,0,10,0,1.0,1.0,1.0,1.0
1050_honda.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
105_amazon.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1070_wnep.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1083_highgearmedia.com.json,0.8,10,0,8,2,0.8,1.0,0.8,0.888888888888889
1089_freep.com.json,0.8888888888888888,9,1,8,2,0.9,1.0,0.8888888888888888,0.9411764705882353
1099_enthusiastnetwork.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1106_allstate.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1164_acbj.com.json,0.8,10,0,8,2,0.8,1.0,0.8,0.888888888888889
1205_opensecrets.org.json,0.625,6,4,7,3,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307692
1206_dcccd.edu.json,1.0,7,3,7,3,1.0,1.0,1.0,1.0
1221_gwdocs.com.json,0.3333333333333333,4,6,4,6,0.6,0.5,0.5,0.5
1224_austincc.edu.json,0.875,8,2,7,3,0.9,1.0,0.875,0.9333333333333333
1252_cincymuseum.org.json,0.7777777777777778,7,3,9,1,0.8,0.7777777777777778,1.0,0.8750000000000001
1259_fool.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1261_zacks.com.json,0.625,6,4,7,3,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307692
1264_citizen.org.json,0.875,7,3,8,2,0.9,0.875,1.0,0.9333333333333333
1300_bankofamerica.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
1306_chasepaymentech.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
133_fortune.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
135_instagram.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1360_thehill.com.json,1.0,8,2,8,2,1.0,1.0,1.0,1.0
1361_yahoo.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1419_miaminewtimes.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
144_style.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
1468_rockstargames.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1470_steampowered.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
1498_ticketmaster.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1510_jibjab.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
1539_geocaching.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
1545_taylorswift.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
1582_msn.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1610_post-gazette.com.json,0.7777777777777778,8,2,8,2,0.8,0.875,0.875,0.875
1618_sltrib.com.json,0.8888888888888888,9,1,8,2,0.9,1.0,0.8888888888888888,0.9411764705882353
1636_sidearmsports.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
1637_dailyillini.com.json,0.8571428571428571,6,4,7,3,0.9,0.8571428571428571,1.0,0.923076923076923
164_adweek.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1666_wsmv.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
1673_tulsaworld.com.json,0.875,7,3,8,2,0.9,0.875,1.0,0.9333333333333333
1683_dailynews.com.json,0.8,10,0,8,2,0.8,1.0,0.8,0.888888888888889
1694_lids.com.json,0.8,9,1,9,1,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888
1703_sports-reference.com.json,1.0,8,2,8,2,1.0,1.0,1.0,1.0
1708_foxsports.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
1713_latinpost.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
175_mlb.mlb.com.json,0.8888888888888888,9,1,8,2,0.9,1.0,0.8888888888888888,0.9411764705882353
186_abcnews.com.json,1.0,10,0,10,0,1.0,1.0,1.0,1.0
200_washingtonpost.com.json,0.9,9,1,10,0,0.9,0.9,1.0,0.9473684210526316
202_foodallergy.org.json,0.6666666666666666,8,2,7,3,0.7,0.8571428571428571,0.75,0.7999999999999999
207_reference.com.json,1.0,10,0,10,0,1.0,1.0,1.0,1.0
21_imdb.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
228_gawker.com.json,0.7777777777777778,8,2,8,2,0.8,0.875,0.875,0.875
26_nytimes.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
303_reddit.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
320_timeinc.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
325_ocregister.com.json,0.7777777777777778,8,2,8,2,0.8,0.875,0.875,0.875
32_voxmedia.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
331_tgifridays.com.json,0.6666666666666666,7,3,8,2,0.7,0.75,0.8571428571428571,0.7999999999999999
33_nbcuniversal.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
348_walmart.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
359_vikings.com.json,0.8888888888888888,9,1,8,2,0.9,1.0,0.8888888888888888,0.9411764705882353
394_newsbusters.org.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
414_washingtonian.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
453_barnesandnoble.com.json,1.0,10,0,10,0,1.0,1.0,1.0,1.0
456_boardgamegeek.com.json,0.5,4,6,8,2,0.6,0.5,1.0,0.6666666666666666
481_fredericknewspost.com.json,0.6666666666666666,7,3,8,2,0.7,0.75,0.8571428571428571,0.7999999999999999
503_buffalowildwings.com.json,0.7777777777777778,9,1,7,3,0.8,1.0,0.7777777777777778,0.8750000000000001
517_kaleidahealth.org.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
523_usa.gov.json,0.8571428571428571,6,4,7,3,0.9,0.8571428571428571,1.0,0.923076923076923
531_archives.gov.json,0.875,8,2,7,3,0.9,1.0,0.875,0.9333333333333333
541_ifsa-butler.org.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
559_www.loc.gov.json,0.875,8,2,7,3,0.9,1.0,0.875,0.9333333333333333
571_abita.com.json,0.625,7,3,6,4,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307692
581_coffeereview.com.json,0.625,5,5,8,2,0.7,0.625,1.0,0.7692307692307693
584_communitycoffee.com.json,0.5714285714285714,6,4,5,5,0.7,0.8,0.6666666666666666,0.7272727272727272
586_cariboucoffee.com.json,0.8888888888888888,9,1,8,2,0.9,1.0,0.8888888888888888,0.9411764705882353
58_esquire.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
591_google.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
59_liquor.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
627_dairyqueen.com.json,0.8,8,2,10,0,0.8,0.8,1.0,0.888888888888889
635_playstation.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
640_gamestop.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
641_cbsinteractive.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
642_thefreedictionary.com.json,0.7777777777777778,7,3,9,1,0.8,0.7777777777777778,1.0,0.8750000000000001
652_randomhouse.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
676_restaurantnews.com.json,0.8333333333333334,5,5,6,4,0.9,0.8333333333333334,1.0,0.9090909090909091
686_military.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
701_tangeroutlet.com.json,0.42857142857142855,5,5,5,5,0.6,0.6,0.6,0.6
70_meredith.com.json,0.8,9,1,9,1,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888
723_dogbreedinfo.com.json,0.4,3,7,4,6,0.7,0.5,0.6666666666666666,0.5714285714285715
744_minecraft.gamepedia.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
745_eatchicken.com.json,0.3333333333333333,2,8,2,8,0.8,0.5,0.5,0.5
746_kraftrecipes.com.json,0.8,10,0,8,2,0.8,1.0,0.8,0.888888888888889
760_si.edu.json,0.75,7,3,7,3,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
777_education.jlab.org.json,0.42857142857142855,4,6,6,4,0.6,0.5,0.75,0.6
807_lodgemfg.com.json,0.6,9,1,7,3,0.6,0.8571428571428571,0.6666666666666666,0.75
817_ironhorsevineyards.com.json,0.5714285714285714,5,5,6,4,0.7,0.6666666666666666,0.8,0.7272727272727272
82_sheknows.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
856_sciencemag.org.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
862_disinfo.com.json,0.6666666666666666,7,3,8,2,0.7,0.75,0.8571428571428571,0.7999999999999999
883_ted.com.json,0.8888888888888888,9,1,8,2,0.9,1.0,0.8888888888888888,0.9411764705882353
884_naturalnews.com.json,0.3333333333333333,4,6,4,6,0.6,0.5,0.5,0.5
891_everydayhealth.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
898_uptodate.com.json,0.5,5,5,7,3,0.6,0.5714285714285714,0.8,0.6666666666666666
907_earthkam.org.json,0.875,8,2,7,3,0.9,1.0,0.875,0.9333333333333333
919_uh.edu.json,0.14285714285714285,4,6,4,6,0.4,0.25,0.25,0.25
928_stlouisfed.org.json,0.875,8,2,7,3,0.9,1.0,0.875,0.9333333333333333
93_pbs.org.json,0.8888888888888888,9,1,8,2,0.9,1.0,0.8888888888888888,0.9411764705882353
940_internetbrands.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
962_lynda.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
988_solarviews.com.json,0.3333333333333333,1,9,3,7,0.8,0.3333333333333333,1.0,0.5
98_neworleansonline.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
995_mohegansun.com.json,0.5,5,5,7,3,0.6,0.5714285714285714,0.8,0.6666666666666666
