File,Other,Policy Change,First Party Collection/Use,Data Retention,International and Specific Audiences,Third Party Sharing/Collection,User Choice/Control,"User Access, Edit and Deletion",Data Security,Do Not Track
1017,0,0,0,0,0,0,0,0,0,0
1028,0,0,0,0,0,0,0,0,0,0
1034,0,0,0,0,0,0,0,0,0,0
1083,0,0,0,0,0,1,0,0,0,0
1164,0,0,0,0,0,1,0,1,0,1
1205,0,0,0,0,0,0,0,0,0,0
1206,0,0,0,0,0,0,0,0,0,0
1221,0,0,0,0,0,0,0,0,0,0
1224,0,0,0,0,0,1,0,0,0,0
1261,0,0,0,0,0,0,0,0,0,0
1264,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0
1360,0,0,0,0,0,1,0,0,0,0
1361,0,0,0,0,0,0,0,0,0,0
1419,0,0,0,0,0,1,0,0,0,1
1470,0,0,0,0,0,0,0,0,0,0
1498,0,0,0,0,0,0,0,0,0,0
1539,0,0,0,0,0,0,0,0,0,0
1545,0,0,0,0,0,0,0,0,0,1
1582,0,0,0,0,0,0,0,0,0,0
1610,0,0,0,0,0,1,0,0,0,0
1637,0,0,0,0,0,0,0,0,0,0
1703,0,0,0,0,0,0,0,0,0,0
1708,0,0,0,0,0,0,0,0,0,0
1713,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,1
320,0,0,0,0,0,1,0,0,0,1
325,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,1,0,0,0,0
481,0,0,0,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0,1,0,0
571,0,0,0,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0,1,0,0
584,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,1,0,1,0,1
591,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,1,0,0,0,0,0
627,0,0,0,0,0,0,0,0,0,1
635,0,0,0,0,0,1,0,0,0,0
652,0,0,0,0,0,0,0,1,0,1
676,0,0,0,0,0,1,0,1,0,0
686,0,0,0,0,0,1,0,0,0,0
701,0,0,0,0,0,0,0,1,0,0
70,0,0,0,0,0,0,0,1,0,0
723,0,0,0,0,0,0,0,1,0,0
745,0,0,0,0,0,1,0,0,0,0
807,0,0,0,0,0,0,0,0,0,0
817,0,0,0,0,0,0,0,1,0,1
82,0,0,0,0,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,0,0
883,0,0,0,0,0,0,0,0,0,0
884,0,0,0,0,0,0,0,1,0,0
891,0,0,0,0,0,0,0,0,0,0
898,0,0,0,0,0,1,0,0,0,0
907,0,0,0,0,0,0,0,0,0,0
919,0,0,0,0,0,1,0,1,0,0
928,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0
940,0,0,0,0,0,0,0,0,0,1
988,0,0,0,0,0,1,0,0,0,1
98,0,0,0,0,0,0,0,1,0,0
